,Tweets,date,source,likes,retweet,image_url
412,Super Typhoon # Mangkhut ( # Ompong in the Philippines) will track toward the Philippines into this weekend: track https://wxch.nl/2CPEdb8 pic.twitter.com/NED0YAwjd2,1536760080,https://twitter.com/weatherchannel/status/1039873262799478784,146,104,https://pbs.twimg.com/media/Dm5Ly0BXsAA2QTw.jpg
413,Tropical Storm # Isaac is expected to impact portions of the Lesser Antilles late this week: https://wxch.nl/2x54FrX pic.twitter.com/uzqam6foCB,1536757921,https://twitter.com/weatherchannel/status/1039864209058619392,70,36,https://pbs.twimg.com/media/Dm5K2zeX4AE0wHK.jpg
414,We're answering your # hurricanequestions throughout the day today. Here's the latest we covered:https://twitter.com/AMHQ/status/1039853090403508225 …,1536756122,https://twitter.com/weatherchannel/status/1039856663300399106,183,76,
415,Disturbance in the Gulf of Mexico has a medium chance of development late this week and may bring more rain to Texas: https://wxch.nl/2OjBZBO pic.twitter.com/hKgKH4TkUG,1536755160,https://twitter.com/weatherchannel/status/1039852626207158274,153,117,https://pbs.twimg.com/media/Dm5KNxQWsAEZ_i1.jpg
416,"The critical forecast changes you need to know about # Hurricane # Florence, now likely to slow to a crawl, triggering catastrophic # flooding in parts of the Southeast. https://wxch.nl/2x76uo2 pic.twitter.com/Gp4GUWmAkL",1536747291,https://twitter.com/weatherchannel/status/1039819622478950400,285,330,https://pbs.twimg.com/media/Dm4uainU0AEkup7.jpg
417,There was a notable westward shift in the forecast path for # Florence with the 11 p.m. EDT advisory. Uncertainty still remains on its exact track as it approaches the Carolina coast late Thursday and into Friday as an intense # hurricane: https://wxch.nl/2O78iDX pic.twitter.com/p6U8VaQbt3,1536725321,https://twitter.com/weatherchannel/status/1039727474819694592,498,455,https://pbs.twimg.com/media/Dm3Z9NfW4AAM5w4.jpg
418,"Our team of field reporters, meteorologists, and experts are at-the-ready to provide the latest information before, during, and after the storm. Stay tuned to The Weather Channel for all the latest on # Florence.pic.twitter.com/71K7U48Qhb",1536724500,https://twitter.com/weatherchannel/status/1039724029190594561,261,70,https://pbs.twimg.com/media/Dm3OsV6U0AEVB7K.jpg
419,"The immediate coast will see life-threatening storm surge approaching 12 feet in some locations. After landfall, # Florence will meander inland, leading to a prolonged, multi-day flooding event. Continue to watch The Weather Channel for the latest updates all week long.pic.twitter.com/6Max0NSggr",1536722142,https://twitter.com/weatherchannel/status/1039714140103876609,334,294,https://pbs.twimg.com/media/Dm3OKG9UwAEwEEG.jpg
420,"As of the 11pm EDT advisory, # Florence remains a powerful Category 4 hurricane packing max sustained winds of 140 MPH. Florence is expected to make landfall as a major hurricane somewhere along the Carolina coast overnight Thursday into Friday.pic.twitter.com/fENdNvUL9Y",1536722032,https://twitter.com/weatherchannel/status/1039713678055145472,194,187,https://pbs.twimg.com/media/Dm3NuvPUYAAQ9ZG.jpg
421,Because # Florence wasn't enough...the @ NHC_Atlantic now says a # tropical depression is likely form by Thursday night in the western Gulf of Mexico as it tracks toward south Texas: https://wxch.nl/2p1bNkK pic.twitter.com/UKmVOYS7Vc,1536717790,https://twitter.com/weatherchannel/status/1039695886471901184,365,291,https://pbs.twimg.com/media/Dm29DGTXgAASuie.jpg
